Date Paid / Refunded,Order Type,Paypal Transaction ID,Buyer,Item Type,Total Order Amount,Item Amount,Shipping Amount,Tax Country / Region,Tax Rate,Order Tax Amount,Transaction Currency,Discogs Platform Fee (Excluding Tax),Fee Tax Country,Fee Tax Rate,Fee Tax Amount,Discogs Platform Fee (Including Tax),Discogs Fee & Fee Tax Currency,Seller Payout Amount,Seller PP Fees,Seller Payout Currency,Discogs Payout Amount,Discogs Payout Currency,Total Payout
13/04/2022,Paid,4HJ00825SA235002B,JohnHRyder,CD,18.5,15,3.5,,0,0,GBP,1.2,UK,0.2,0.24,1.44,GBP,16.54,0.52,GBP,1.44,GBP,18.5
23/04/2022,Paid,2J354895RL0159327,vinyl_spectre,Vinyl,23.55,20,2,NC,0.07,1.55,GBP,1.6,UK,0.2,0.32,1.92,GBP,18.63,1.45,GBP,3.47,GBP,23.55
29/05/2022,Paid,4DR259110P188112C,colin.robins,Vinyl,18.5,15,3.5,,0,0,GBP,1.2,UK,0.2,0.24,1.44,GBP,16.54,0.52,GBP,1.44,GBP,18.5
04/10/2022,Paid,37U910769X058313M,Marquis_Cha-Cha,Vinyl,17.94,15,2,MA,0.0625,0.94,GBP,1.2,UK,0.2,0.24,1.44,GBP,14.38,1.18,GBP,2.38,GBP,17.94
19/01/2023,Paid,0AB68155Y05156031,anthonyqh,Vinyl,37,30,7,,0,0,GBP,2.4,UK,0.2,0.48,2.88,GBP,32.64,1.48,GBP,2.88,GBP,37
30/01/2023,Paid,3YL81703W2893201U,GilRoddy,CD,21.21,17.71,3.5,,0,0,GBP,1.42,UK,0.2,0.28,1.7,GBP,18.59,0.92,GBP,1.7,GBP,21.21
02/04/2023,Paid,23B83860TH0408830,MikkoKikko,Vinyl,51.46,35,6.5,FI,0.24,9.96,GBP,2.8,UK,0.2,0.56,3.36,GBP,35.68,2.46,GBP,13.32,GBP,51.46
04/04/2023,Paid,14E825981N9980313,sviestssviests,Vinyl,67.5,60,7.5,,0,0,GBP,4.8,UK,0.2,0.96,5.76,GBP,58.61,3.13,GBP,5.76,GBP,67.5
17/04/2023,Paid,0VU09590F1067650P,S_h_a_w_n,Vinyl,26.5,20,6.5,,0,0,GBP,1.6,UK,0.2,0.32,1.92,GBP,23.51,1.07,GBP,1.92,GBP,26.5
09/09/2023,Paid,27536815VY6588920,owl_eyes,Vinyl,76.5,70,6.5,,0,0,GBP,6.89,UK,0.2,1.38,8.27,GBP,65.71,2.52,GBP,8.27,GBP,76.5
03/12/2023,Paid,2Y573112L08389251,justine2304,Vinyl,43.8,30,6.5,FR,0.2,7.3,GBP,3.29,UK,0.2,0.66,3.95,GBP,31.16,1.39,GBP,11.25,GBP,43.8
11/12/2023,Paid,44M08286ES477245T,Auto1skien,Vinyl,49.5,43,6.5,,0,0,GBP,4.46,UK,0.2,0.89,5.35,GBP,42.62,1.53,GBP,5.35,GBP,49.5
08/02/2024,Paid,30N62435V27772526,SamanthaTrowles,Vinyl,52.5,45,7.5,,0,0,GBP,4.72,UK,0.2,0.94,5.66,GBP,45.02,1.82,GBP,5.66,GBP,52.5
