Catalog#,Artist,Title,Label,Format,Released,release_id,CollectionFolder,Date Added,date,Time,Label1,Label2,Same_label,Format_category,Value
"PIASV 007 CD, 946.0007.128",Mogwai,My Father My King,"[PIAS] Recordings, [PIAS] Recordings, Rock Action Records, Rock Action Records","CD, EP, Single",2001,527808,Uncategorized,07/12/2019 22:43,12/07/2019,22:43:00,[PIAS] Recordings,"[PIAS] Recordings, Rock Action Records, Rock Action Records",Different,CD,3
12t030,Lost In Hildurness,Mount A,12 Tónar,"CD, Album",2006,948733,Uncategorized,07/12/2019 22:11,12/07/2019,22:11:00,12 Tónar,,Different,CD,4
12K1032,Taylor Deupree + Kenneth Kirschner,Post_Piano 2,12k,"CD, Album, Ltd",2005,464491,Uncategorized,20/12/2019 10:45,20/12/2019,10:45:00,12k,,Different,CD,4
12K1035,Sawako,Hum,12k,"CD, Album, Ltd",2005,563530,Uncategorized,25/11/2019 00:07,25/11/2019,00:07:00,12k,,Different,CD,7
12K1040,Seaworthy,Map In Hand,12k,"CD, Album, RE, RM",2006,828844,Uncategorized,25/11/2019 00:05,25/11/2019,00:05:00,12k,,Different,CD,6
12k1046,Christopher Willits + Ryuichi Sakamoto,Ocean Fire,12k,"CD, Album, Ltd, RE",2008,1157333,Uncategorized,28/11/2019 23:23,28/11/2019,23:23:00,12k,,Different,CD,7
12K1048,Machinefabriek + Stephen Vitiello,Box Music,12k,"CD, Album",2008,1351461,Uncategorized,01/12/2019 00:36,12/01/2019,00:36:00,12k,,Different,CD,4
12K1052,Lawrence English,A Colour For Autumn,12k,"CD, Album, Ltd",2009,1698946,Uncategorized,25/12/2019 12:51,25/12/2019,12:51:00,12k,,Different,CD,7
CD13-04,Max Richter,The Blue Notebooks,130701,"CD, Album",2004,245836,Uncategorized,12/09/2023 00:54,09/12/2023,00:54:00,130701,,Different,CD,5
CD1306P,Hauschka,Room To Expand,130701,"CD, Album, Promo",2006,861305,Uncategorized,12/09/2023 01:24,09/12/2023,01:24:00,130701,,Different,CD,7
LP13-22,Ian William Craig,Centres,130701,"xLP, Album",2016,8724166,Uncategorized,23/11/2019 21:18,23/11/2019,21:18:00,130701,,Different,LP,44
LP13-32,Ian William Craig,Thresholder,130701,"LP, Album",2018,12769115,Uncategorized,23/11/2019 21:15,23/11/2019,21:15:00,130701,,Different,LP,25
LP13-46,Ian William Craig,Music For Magnesium_173,130701,xLP,2022,24735608,Uncategorized,09/10/2022 04:43,10/09/2022,04:43:00,130701,,Different,LP,24
1703-3,Ellen Fullman & Okkyung Lee,The Air Around Her,1703 Skivbolaget,"LP, Ltd",2019,12988685,Uncategorized,22/11/2019 17:40,22/11/2019,17:40:00,1703 Skivbolaget,,Different,LP,33
202020.01,Damon & Naomi,The Earth Is Blue,20|20|20,"CD, Album",2005,535989,Uncategorized,25/11/2019 00:15,25/11/2019,00:15:00,20|20|20,,Different,CD,6
2ND012,Giardini Di Mirò,Punk ... Not Diet!,2nd Rec,"CD, Album",2003,195699,Uncategorized,07/12/2019 22:11,12/07/2019,22:11:00,2nd Rec,,Different,CD,3
CAD 2409CD,Blonde Redhead,Misery Is A Butterfly,4AD,"CD, Album, Dig",2004,997211,Uncategorized,07/12/2019 22:43,12/07/2019,22:43:00,4AD,,Different,CD,6
CAD 2609 CD,Jóhann Jóhannsson,"IBM 1401, A User's Manual",4AD,"CD, Album, Dig",2006,803484,Uncategorized,12/09/2023 01:23,09/12/2023,01:23:00,4AD,,Different,CD,2
CAD 3503,Holly Herndon,Platform,4AD,"xLP, Album",2015,7015065,Uncategorized,01/07/2021 14:47,07/01/2021,14:47:00,4AD,,Different,LP,45
"CAD 3614, 652637361414",Tim Hecker,Love Streams,"4AD, 4AD","xLP, Album",2016,8356975,Uncategorized,02/11/2019 11:11,11/02/2019,11:11:00,4AD,4AD,Same,LP,47
52HZ001LP,Colin Stetson,Sorrow (A Reimagining Of Gorecki's 3rd Symphony),52Hz,"xLP, Album, ",2016,8384784,Uncategorized,02/11/2019 11:19,11/02/2019,11:19:00,52Hz,,Different,LP,30
"52HZ002LPX, 52HZ002LP",Colin Stetson,All This I Do For Glory,"52Hz, 52Hz","LP, Album, Ltd, Whi",2017,10199709,Uncategorized,26/03/2020 22:30,26/03/2020,22:30:00,52Hz,52Hz,Same,LP,48
8mm 051,Joe McPhee / Eli Keszler,Ithaca,8mm Records,"LP, Ltd",2012,3501319,Uncategorized,22/11/2019 23:18,22/11/2019,23:18:00,8mm Records,,Different,LP,49
6.03E+11,Don Cherry,Don Cherry,"A&M Records, UMe","LP, Album, RE, Gat",2019,13641218,Uncategorized,03/11/2019 10:59,11/03/2019,10:59:00,A&M Records,UMe,Different,LP,43
"AGO061, REV003",Murcof / Philippe Petit,First Chapter,"Aagoo Records, REV. Laboratories","LP, Album",2013,4954305,Uncategorized,23/11/2019 18:54,23/11/2019,18:54:00,Aagoo Records,REV. Laboratories,Different,LP,37
24,Joe McPhee - Dave Rempis - Tomeka Reid - Brandon Lopez (2) - Paal Nilssen-Love,Of Things Beyond Thule Vol. 1,Aerophonic Records,"LP, Album, Ltd",2020,14673216,Uncategorized,19/03/2020 12:31,19/03/2020,12:31:00,Aerophonic Records,,Different,LP,11
CDB901/3,"Iron Maiden, Aerosmith, Guns N' Roses",From Rock'N'Roll To Heavy Metal,Alegra,"xCD, Comp, Unofficial",1994,7884881,Uncategorized,12/09/2023 01:20,09/12/2023,01:20:00,Alegra,,Different,CD,2
ALIENCD81,Aidan Baker · Tim Hecker,Fantasma Parastasie,Alien8 Recordings,"CD, Album",2008,1507629,Uncategorized,07/12/2019 22:18,12/07/2019,22:18:00,Alien8 Recordings,,Different,CD,3
AIN002,Northern Song Dynasty,Northern Song Dynasty,All Is Number Records,"CD, Album, RE",2005,854167,Uncategorized,07/12/2019 22:05,12/07/2019,22:05:00,All Is Number Records,,Different,CD,5
at178x4,"John Cage, Apartment House",Number Pieces,Another Timbre,xCD + Box,2021,20151679,Uncategorized,27/10/2021 12:50,27/10/2021,12:50:00,Another Timbre,,Different,CD,3
6632-2,Tom Waits,Alice,Anti-,"CD, Album, Dig",2002,417316,Uncategorized,07/12/2019 22:55,12/07/2019,22:55:00,Anti-,,Different,CD,4
7838-1,Moor Mother,Black Encyclopedia Of The Air,Anti-,"LP, Album, Ltd, Pur",2021,20699161,Uncategorized,31/10/2021 08:21,31/10/2021,08:21:00,Anti-,,Different,LP,35
7926-1,Moor Mother,Jazz Codes,Anti-,"LP, Album, Ltd, Gol",2022,24003833,Uncategorized,27/09/2022 04:36,27/09/2022,04:36:00,Anti-,,Different,LP,25
Anticipate 007,Mark Templeton,Inland,Anticipate Recordings,"CD, Album",2009,1817790,Uncategorized,28/11/2019 23:25,28/11/2019,23:25:00,Anticipate Recordings,,Different,CD,3
Anticipate 009,Mark Templeton & Aaron Munson (2),Acre Loss,Anticipate Recordings,"CD, Album + DVD-V, D/Sided, NTSC, PAL",2009,1660017,Uncategorized,25/12/2019 12:35,25/12/2019,12:35:00,Anticipate Recordings,,Different,CD,2
"abr0050, N12",13 & God,13 & God,"Anticon, Alien Transistor","CD, Album",2005,1157667,Uncategorized,12/09/2023 00:51,09/12/2023,00:51:00,Anticon,Alien Transistor,Different,CD,4
AFRO 2065,Mohammad,Lamnè Gastama - 34ºN-42ºN/19ºE-29ºE Study Vol.2,Antifrost,"LP, Album, Ltd",2014,6206637,Uncategorized,23/11/2019 18:54,23/11/2019,18:54:00,Antifrost,,Different,LP,31
ARBOR 098,Outer Space (3),Outer Space,Arbor,"LP, Cle",2010,2394616,Uncategorized,22/11/2019 18:06,22/11/2019,18:06:00,Arbor,,Different,LP,26
none,Akira Rabelais,À La Recherche Du Temps Perdu,Argeïphontes,"xCD, Album, Ltd",2021,21346792,Uncategorized,08/02/2023 04:57,02/08/2023,04:57:00,Argeïphontes,,Different,CD,2
ABM22,Tamás Kátai,Erika Szobája,Ars Benevola Mater,"CD, Album, Ltd",2006,983338,Uncategorized,12/09/2023 01:23,09/12/2023,01:23:00,Ars Benevola Mater,,Different,CD,5
asp3004,AGF + Sue Cie,Mini Movies,Asphodel,"CD, Album + DVD-V",2006,652173,Uncategorized,12/09/2023 01:08,09/12/2023,01:08:00,Asphodel,,Different,CD,5
AS 125,Chicago Underground Quartet,Good Days,Astral Spirits,"LP, Ltd, ",2020,15090711,Uncategorized,15/08/2020 12:43,15/08/2020,12:43:00,Astral Spirits,,Different,LP,39
ACD 5037,Natasha Barrett,Kraftfelt,Aurora (5),"Album + DVD-A, Amb, Multichannel, . + CD, Rem",2005,906231,Uncategorized,25/12/2019 12:51,25/12/2019,12:51:00,Aurora (5),,Different,CD,7
AVr 01,MAZK / Ogino Knauss,Equilibratura Elettronica,AV Recordings,DVD-V,2005,568477,Uncategorized,25/12/2019 13:01,25/12/2019,13:01:00,AV Recordings,,Different,DVD-V,4
bing 033,Landing,Seasons,Ba Da Bing!,"CD, Album",2002,165402,Uncategorized,20/12/2019 10:41,20/12/2019,10:41:00,Ba Da Bing!,,Different,CD,5
BING-137,Sarah Davachi,Gave In Rest,Ba Da Bing!,"LP, Album, Red",2018,12422732,Uncategorized,31/10/2019 23:04,31/10/2019,23:04:00,Ba Da Bing!,,Different,LP,18
BING048,Beirut,Gulag Orkestar,Ba Da Bing!,"CD, Album",2006,5926298,Uncategorized,07/12/2019 23:18,12/07/2019,23:18:00,Ba Da Bing!,,Different,CD,3
none,Blixa Bargeld,Rede / Speech,Bargeld Entertainment,"DVD, NTSC, PAL",2006,844755,Uncategorized,25/12/2019 13:03,25/12/2019,13:03:00,Bargeld Entertainment,,Different,"DVD, NTSC, PAL",3
HVALUR 2,Ben Frost,Theory Of Machines,Bedroom Community,"CD, Album",0,2100899,Uncategorized,25/11/2019 00:08,25/11/2019,00:08:00,Bedroom Community,,Different,CD,2
HVALUR1,Nico Muhly,Speaks Volumes,Bedroom Community,"CD, Album",2007,13188419,Uncategorized,07/12/2019 22:16,12/07/2019,22:16:00,Bedroom Community,,Different,CD,6
