id,status,type,format,label,title,resource_url,role,artist,year,thumb,stats.community.in_wantlist,stats.community.in_collection,main_release,trackinfo,format_category
728782,Accepted,release,"LP, Ltd",Jerker Productions,Stacte,https://api.discogs.com/releases/728782,Main,Oren Ambarchi,1998,,184,58,,,LP
189441,Accepted,release,"CD, Album",Tzadik,The Alter Rebbe's Nigun,https://api.discogs.com/releases/189441,Main,Ambarchi* / Avenaim*,1999,,78,147,,,CD
189446,Accepted,release,CD,Touch,Insulation,https://api.discogs.com/releases/189446,Main,Oren Ambarchi,1999,,120,149,,,CD
696814,Accepted,release,"LP, Ltd",Jerker Productions,Stacte.2,https://api.discogs.com/releases/696814,Main,Oren Ambarchi,1999,,140,59,,,LP
157090,,master,,,Clockwork,https://api.discogs.com/masters/157090,Main,Oren Ambarchi & Robbie Avenaim,1999,,19,29,1813327,,CD
197139,,master,,,Afternoon Tea,https://api.discogs.com/masters/197139,Main,Ambarchi* / Fennesz / Pimmon / Rehberg* / Rowe*,2000,,116,171,74238,,CD
48239,,master,,,Reconnaissance,https://api.discogs.com/masters/48239,Main,Oren Ambarchi & Martin Ng,2000,,75,108,721730,,CD
41697,,master,,,Persona,https://api.discogs.com/masters/41697,Main,Oren Ambarchi,2000,,122,55,221640,,CD
41709,,master,,,Stacte.3,https://api.discogs.com/masters/41709,Main,Oren Ambarchi,2000,,118,108,198254,,CD
10848,,master,,,Suspension,https://api.discogs.com/masters/10848,Main,Oren Ambarchi,2001,,116,379,22293,,CD
122128,Accepted,release,"7"", Ltd, Num",Tonschacht,Der Kleine König,https://api.discogs.com/releases/122128,Main,Oren Ambarchi,2002,,72,130,,,Other
148215,Accepted,release,"LP, Ltd, Num",En/Of,Stacte.4 / Black Sunflower (Recto/Verso),https://api.discogs.com/releases/148215,Main,"Oren Ambarchi, Simon Starling",2002,,141,24,,,LP
196693,Accepted,release,"CD, Ltd, Num",Mort Aux Vaches,Mort Aux Vaches,https://api.discogs.com/releases/196693,Main,Oren Ambarchi,2002,,81,190,,,CD
221645,Accepted,release,"CD, Album",Staubgold,Flypaper,https://api.discogs.com/releases/221645,Main,Keith Rowe & Oren Ambarchi,2002,,75,162,,,CD
596293,Accepted,release,"CD, Album",GROB,Thumb,https://api.discogs.com/releases/596293,Main,"Keith Rowe, Oren Ambarchi, Sachiko M, Otomo Yoshihide, Robbie Avenaim",2002,,88,95,,,CD
733377,Accepted,release,"File, MP3, Single, 128",Tu M'p3,Lynx,https://api.discogs.com/releases/733377,Main,Oren Ambarchi,2002,,4,25,,,Other
175233,Accepted,release,"CD, Album",Häpna,My Days Are Darker Than Your Nights,https://api.discogs.com/releases/175233,Main,Oren Ambarchi & Johan Berthling,2003,,81,169,,,CD
236462,Accepted,release,"CD, Album, Enh",Quecksilber,Vigil,https://api.discogs.com/releases/236462,Main,Oren Ambarchi And Martin Ng,2003,,35,120,,,CD
1566221,,master,,,Oystered,https://api.discogs.com/masters/1566221,Main,Oren Ambarchi \ Gunter Muller* \ Voice Crack,2003,,65,152,132474,,CD
41733,,master,,,Triste,https://api.discogs.com/masters/41733,Main,Oren Ambarchi,2003,,131,88,149656,,CD
909188,Accepted,release,"CD, Album",For 4 Ears,Strange Love,https://api.discogs.com/releases/909188,Main,Ambarchi* _ Müller* _ Samartzis*,2004,,45,75,,,CD
1244517,Accepted,release,"CD, Album",GROB,Honey Pie,https://api.discogs.com/releases/1244517,Main,"Keith Rowe, Oren Ambarchi, Robbie Avenaim",2004,,55,66,,,CD
10077,,master,,,Grapes From The Estate,https://api.discogs.com/masters/10077,Main,Oren Ambarchi,2004,,176,494,300016,,CD
639216,Accepted,release,"File, MP3",Touch,Press Conference / Panel At Roskilde Festival 010705,https://api.discogs.com/releases/639216,Main,Ivar* / Grutle* / Stephen O'Malley / Oren Ambarchi / Attila Csihar / Aaron Turner,2006,,11,35,,,Other
808857,Accepted,release,"LP, Ltd",Textile Records,Untitled,https://api.discogs.com/releases/808857,Main,Oren Ambarchi & Scott Horscroft / Hado-Ho,2006,,62,104,,,LP
843236,Accepted,release,"12"", EP",Western Vinyl,Stacte Motors,https://api.discogs.com/releases/843236,Main,Oren Ambarchi,2006,,59,287,,,Other
844388,Accepted,release,"CD, Mini",Antiopic,Willow Weep And Moan For Me,https://api.discogs.com/releases/844388,Main,Tetuzi Akiyama / Oren Ambarchi / Alan Licht,2006,,33,79,,,CD
986939,Accepted,release,"DVD-V, Multichannel, NTSC",Asphodel,Fateless,https://api.discogs.com/releases/986939,Main,Ambarchi* And Ng*,2006,,31,42,,,DVD
1015401,Accepted,release,"CD, Album",For 4 Ears,Squire,https://api.discogs.com/releases/1015401,Main,Oren Ambarchi / Keith Rowe,2006,,57,70,,,CD
951809,Accepted,release,"LP, Ltd, Num",Bo'Weavil Recordings,Lost Like A Star,https://api.discogs.com/releases/951809,Main,Oren Ambarchi,2007,,97,211,,,LP
1093725,Accepted,release,"7"", Single",Pica Disk,Worried Friends b/w Nervous Enemies,https://api.discogs.com/releases/1093725,Main,Oren Ambarchi / Lasse Marhaug,2007,,60,152,,,Other
556,,master,,,In The Pendulum's Embrace,https://api.discogs.com/masters/556,Main,Oren Ambarchi,2007,,80,296,1034668,,CD
1299990,Accepted,release,"7"", Single, Ltd",Touch,Destinationless Desire,https://api.discogs.com/releases/1299990,Main,Oren Ambarchi,2008,,115,427,,,Other
1320055,Accepted,release,"CD, Album",Tzadik,Spirit Transform Me,https://api.discogs.com/releases/1320055,Main,Oren Ambarchi / Z'ev,2008,,85,165,,,CD
1981106,Accepted,release,"CDr, Album, Ltd",Uganda,הופעה באוגנדה,https://api.discogs.com/releases/1981106,Main,Oren Ambarchi,2008,,39,11,,,CD
566,,master,,,A Final Kiss On Poisoned Cheeks,https://api.discogs.com/masters/566,Main,Oren Ambarchi,2008,,120,186,1540419,,CD
1835017,Accepted,release,"LP, Ltd",Planam,Treatise,https://api.discogs.com/releases/1835017,Main,"Cornelius Cardew - Oren Ambarchi, Keith Rowe",2009,,150,126,,,LP
1910632,Accepted,release,"7"", Single",Pica Disk,Devil Wolf Men,https://api.discogs.com/releases/1910632,Main,Oren Ambarchi / Lasse Marhaug,2009,,71,91,,,Other
1993379,Accepted,release,"CD, Comp",Touch,Intermission 2000–2008,https://api.discogs.com/releases/1993379,Main,Oren Ambarchi,2009,,72,259,,,CD
2423073,Accepted,release,"File, MP3, 192",Touch,Live At Corsica Studios,https://api.discogs.com/releases/2423073,Main,Oren Ambarchi,2010,,5,35,,,Other
2640945,Accepted,release,"7""",Krayon Recordings,Revolving Door Assault / Double Helix,https://api.discogs.com/releases/2640945,Main,Flaherty* / Corsano* / Yeh* And Oren Ambarchi / Matt Skitz Sanders*,2010,,70,96,,,Other
823973,,master,,,Tima Formosa,https://api.discogs.com/masters/823973,Main,Ambarchi* / O'Rourke* / Haino*,2010,,150,225,2214136,,CD
2762698,Accepted,release,"2xLP, Ltd","Black Truffle, Medama Records",In A Flash Everything Comes Together As One There Is No Need For A Subject = 「またたくまに　すべてが　ひとつに　なる　だから　主語は　いらない」,https://api.discogs.com/releases/2762698,Main,"Keiji Haino, Jim O'Rourke, Oren Ambarchi",2011,,339,331,,,LP
2938724,Accepted,release,"LP, Ltd",Bo'Weavil Recordings,Dream Request,https://api.discogs.com/releases/2938724,Main,Oren Ambarchi & Robbie Avenaim,2011,,77,85,,,LP
2940549,Accepted,release,LP,Editions Mego,Indeed,https://api.discogs.com/releases/2940549,Main,Oren Ambarchi / Jim O'Rourke,2011,,223,272,,,LP
370569,,master,,,Hit & Run,https://api.discogs.com/masters/370569,Main,Oren Ambarchi & Joe Talia,2011,,107,110,3067752,,CD
3427696,Accepted,release,CD,Black Truffle,The Mortimer Trap*,https://api.discogs.com/releases/3427696,Main,Ambarchi* & Brinkmann*,2012,,95,150,,,CD
3760545,Accepted,release,LP,Bocian Records,Black Plume,https://api.discogs.com/releases/3760545,Main,Oren Ambarchi / Crys Cole / Keith Rowe,2012,,157,85,,,LP
3933662,Accepted,release,"12"", Album",Bo'Weavil Recordings,Raga Ooty / The Nilgiri Plateau,https://api.discogs.com/releases/3933662,Main,Oren Ambarchi,2012,,75,105,,,Other
4028256,Accepted,release,"LP, Ltd",Prisma Records,Wreckage,https://api.discogs.com/releases/4028256,Main,Oren Ambarchi & James Rushford,2012,,85,87,,,LP
4251970,Accepted,release,"7"", Num, Red","Fratto9 Under The Sky Records, Kinky Gabber",Luminance Ratio / Oren Ambarchi,https://api.discogs.com/releases/4251970,Main,Luminance Ratio / Oren Ambarchi,2012,,41,37,,,Other
461892,,master,,,Audience Of One,https://api.discogs.com/masters/461892,Main,Oren Ambarchi,2012,,83,303,3348535,,CD
519383,,master,,,Connected,https://api.discogs.com/masters/519383,Main,Oren Ambarchi & Robin Fox (2),2012,,92,172,3996368,,CD
440602,,master,,,The Wired Lab / Wired Open Day 2009,https://api.discogs.com/masters/440602,Main,"Alan Lamb, Garry Bradbury, David Burraston, Oren Ambarchi, Robin Fox (2)",2012,,101,72,3636437,,CD
465728,,master,,,Sagittarian Domain,https://api.discogs.com/masters/465728,Main,Oren Ambarchi,2012,,226,258,3797284,,CD
416625,,master,,,いみくずし Imikuzushi,https://api.discogs.com/masters/416625,Main,"Keiji Haino, Jim O'Rourke, Oren Ambarchi",2012,,95,206,3457611,,CD
442338,,master,,,In The Mouth - A Hand,https://api.discogs.com/masters/442338,Main,Fire! With Oren Ambarchi,2012,,198,304,3648377,,CD
4998864,Accepted,release,"LP, Album, Ltd",Black Truffle,The Just Reproach,https://api.discogs.com/releases/4998864,Main,John Tilbury & Oren Ambarchi,2013,,117,132,,,LP
5033391,Accepted,release,"File, MP3, Mixed, 320",Secret Thirteen Journal,Secret Thirteen Mix 081,https://api.discogs.com/releases/5033391,Main,Oren Ambarchi,2013,,2,8,,,Other
632508,,master,,,Cat's Squirrel,https://api.discogs.com/masters/632508,Main,Merzbow & Oren Ambarchi,2013,,158,214,4352412,,CD
545480,,master,,,まだ　暖かい内に　この今に　全ての謎を　注ぎ込んでしまおう = Now While It's Still Warm Let Us Pour In All The Mystery,https://api.discogs.com/masters/545480,Main,"Keiji Haino, Jim O'Rourke, Oren Ambarchi",2013,,69,148,4468024,,CD
5601125,Accepted,release,"12""",Black Truffle,Stacte Karaoke,https://api.discogs.com/releases/5601125,Main,Oren Ambarchi,2014,,96,162,,,Other
5647912,Accepted,release,"CD, Album + DVD",Cuneiform Records,Tikkun,https://api.discogs.com/releases/5647912,Main,"Richard Pinhas, Oren Ambarchi",2014,,86,107,,,CD
5713497,Accepted,release,"LP, Ltd",Planam,Sonja Henies Vei 31,https://api.discogs.com/releases/5713497,Main,Crys Cole & Oren Ambarchi,2014,,110,84,,,LP
5812916,Accepted,release,"LP, Album",TUSK (3),Live At TUSK Festival 2013,https://api.discogs.com/releases/5812916,Main,Ambarchi* / Campbell* / Flower*,2014,,67,77,,,LP
797708,,master,,,Quixotism,https://api.discogs.com/masters/797708,Main,Oren Ambarchi,2014,,96,206,6022320,,CD
730154,,master,,,Alps,https://api.discogs.com/masters/730154,Main,Oren Ambarchi / Eli Keszler,2014,,109,92,5996479,,CD
737047,,master,,,ただ美しく溶けてしまいたいのに　まだまだ満ち足りていないから　まだ見えてないはずの　ものの　ほうが愛おしく　思えてしまう = Only Wanting To Melt Beautifully Away Is It A Lack Of Contentment That S,https://api.discogs.com/masters/737047,Main,Keiji Haino / Jim O'Rourke / Oren Ambarchi,2014,,250,372,6121367,,CD
643397,,master,,,Amulet,https://api.discogs.com/masters/643397,Main,Oren Ambarchi,2014,,57,58,5135365,,CD
787879,,master,,,Shade Themes From Kairos,https://api.discogs.com/masters/787879,Main,Ambarchi* / O'Malley* / Dunn*,2014,,243,581,5708869,,CD
6573683,Accepted,release,"LP, Album, Ltd","Black Truffle, Medama Records",ここに　与えられた　この身体　全部　使い切てやる　という者の　お茶の　時間 = Tea Time For Those Determined To Completely Exhaust Every Bit Of This Body They've Been Given,https://api.discogs.com/releases/6573683,Main,Keiji Haino / Jim O'Rourke / Oren Ambarchi,2015,,262,349,,,LP
6623041,Accepted,release,LP,Editions Mego,Behold,https://api.discogs.com/releases/6623041,Main,"Oren Ambarchi, Jim O'Rourke",2015,,234,374,,,LP
7842078,Accepted,release,"LP, Album + CD, Album",Häpna,Tongue Tied,https://api.discogs.com/releases/7842078,Main,Oren Ambarchi & Johan Berthling,2015,,77,151,,,CD
921257,,master,,,Subsound Split Series #4 ,https://api.discogs.com/masters/921257,Main,Oren Ambarchi / Massimo Pupillo,2015,,30,26,7741524,,CD
799993,,master,,,Live Knots,https://api.discogs.com/masters/799993,Main,Oren Ambarchi,2015,,51,128,6677689,,CD
3256162,,master,,,Sleepwalker’s Conviction,https://api.discogs.com/masters/3256162,Main,Oren Ambarchi,2015,,124,174,6924152,,CD
21064387,Accepted,release,"CD, EP",Leerraum [ ],18.58,https://api.discogs.com/releases/21064387,Main,"Oren Ambarchi, Zimoun",2016,,7,0,,,CD
1987312,,master,,,Hubris Variation (Ricardo Villalobos Mix),https://api.discogs.com/masters/1987312,Main,Oren Ambarchi x Ricardo Villalobos,2016,,288,489,9325576,,CD
1774911,,master,,,"君は気がついたかな 「すみません」 という響きがとても美しいことに それ以上悪くしないように = I Wonder If You Noticed ""I'm Sorry"" Is Such A Lovely Sound It Keeps Things From Getting Worse",https://api.discogs.com/masters/1774911,Main,"Keiji Haino, Jim O'Rourke, Oren Ambarchi",2016,,328,335,8485613,,CD
1077077,,master,,,Hubris,https://api.discogs.com/masters/1077077,Main,Oren Ambarchi,2016,,141,156,9213780,,CD
1710447,,master,,,Pale Calling,https://api.discogs.com/masters/1710447,Main,"Oren Ambarchi, Kassel Jaeger, James Rushford",2016,,142,162,8360860,,CD
1342838,,master,,,Aithein,https://api.discogs.com/masters/1342838,Main,"Oren Ambarchi, Stefano Pilia, Massimo Pupillo",2016,,120,121,8344233,,CD
10957434,Accepted,release,"12"", Ltd",Black Truffle,Stacte Karaoke II,https://api.discogs.com/releases/10957434,Main,Oren Ambarchi,2017,,78,123,,,Other
11113661,Accepted,release,2xLP,"Black Truffle, Medama Records","This Dazzling, Genuine ""Difference"" Now Where Shall It Go?",https://api.discogs.com/releases/11113661,Main,"Keiji Haino, Jim O'Rourke, Oren Ambarchi",2017,,187,262,,,LP
1448995,,master,,,Hotel Record,https://api.discogs.com/masters/1448995,Main,Crys Cole & Oren Ambarchi,2017,,169,178,10799052,,CD
1225675,,master,,,Live In Melbourne,https://api.discogs.com/masters/1225675,Main,"Ash Ra Tempel Experience, Manuel Göttsching, Ariel Pink, Oren Ambarchi, Shags Chamberlain",2017,,67,82,10722126,,CD
12461192,Accepted,release,"12"", EP",A-TON,Panama / Suez,https://api.discogs.com/releases/12461192,Main,"Oren Ambarchi, Konrad Sprenger, Phillip Sollmann",2018,,114,190,,,Other
12674481,Accepted,release,"LP, Album, Ltd",Ultra Eczema,Certainly,https://api.discogs.com/releases/12674481,Main,Oren Ambarchi / Crys Cole / Leif Elggren,2018,,93,85,,,LP
12858080,Accepted,release,"LP, Album",Editions Mego,Hence,https://api.discogs.com/releases/12858080,Main,"Oren Ambarchi, Jim O'Rourke with special guest U-zhaan",2018,,151,213,,,LP
14360961,Accepted,release,2xLP,Hospital Hill,The Vanishing,https://api.discogs.com/releases/14360961,Main,Oren Ambarchi & Martin Ng Feat. Ensemble Offspring,2018,,33,32,,,LP
1737067,,master,,,Face Time,https://api.discogs.com/masters/1737067,Main,"Oren Ambarchi, Kassel Jaeger, James Rushford",2018,,1,6,15296646,,CD
13469568,Accepted,release,LP,Black Truffle,Patience Soup,https://api.discogs.com/releases/13469568,Main,Phew / Oren Ambarchi / Jim O'Rourke,2019,,188,145,,,LP
1571862,,master,,,Oglon Day,https://api.discogs.com/masters/1571862,Main,"Oren Ambarchi, Mark Fell, Will Guthrie, Sam Shalabi",2019,,11,15,13829076,,CD
1600797,,master,,,In The Past Only Geniuses Were Capable Of Staging The Perfect Crime (Also Known As A Revolution) Today Anybody Can Accomplish Their Aims With The Push Of The Button ,https://api.discogs.com/masters/1600797,Main,"Keiji Haino, Jim O'Rourke, Oren Ambarchi",2019,,62,101,14077905,,CD
1569637,,master,,,Simian Angel,https://api.discogs.com/masters/1569637,Main,Oren Ambarchi,2019,,168,372,13762726,,CD
1577353,,master,,,Knotting,https://api.discogs.com/masters/1577353,Main,Oren Ambarchi & Will Guthrie,2019,,46,57,13711775,,CD
15217161,Accepted,release,"File, FLAC, 24-",Touch,Sbagliato,https://api.discogs.com/releases/15217161,Main,Oren Ambarchi,2020,,0,28,,,Other
