Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"PIASV 007 CD, 946.0007.128",Mogwai,My Father My King,"[PIAS] Recordings, [PIAS] Recordings, Rock Action Records, Rock Action Records","CD, EP, Single",,2001,527808,Uncategorized,07/12/2019 22:43,,,
12t030,Lost In Hildurness,Mount A,12 Tónar,"CD, Album",,2006,948733,Uncategorized,07/12/2019 22:11,,,
12K1032,Taylor Deupree + Kenneth Kirschner,Post_Piano 2,12k,"CD, Album, Ltd",,2005,464491,Uncategorized,20/12/2019 10:45,,,
12K1035,Sawako,Hum,12k,"CD, Album, Ltd",,2005,563530,Uncategorized,25/11/2019 00:07,,,
12K1040,Seaworthy,Map In Hand,12k,"CD, Album, RE, RM",,2006,828844,Uncategorized,25/11/2019 00:05,,,
12k1046,Christopher Willits + Ryuichi Sakamoto,Ocean Fire,12k,"CD, Album, Ltd, RE",,2008,1157333,Uncategorized,28/11/2019 23:23,,,
12K1048,Machinefabriek + Stephen Vitiello,Box Music,12k,"CD, Album",,2008,1351461,Uncategorized,01/12/2019 00:36,,,
12K1052,Lawrence English,A Colour For Autumn,12k,"CD, Album, Ltd",,2009,1698946,Uncategorized,25/12/2019 12:51,,,
CD13-04,Max Richter,The Blue Notebooks,130701,"CD, Album",,2004,245836,Uncategorized,12/09/2023 00:54,,,
CD1306P,Hauschka,Room To Expand,130701,"CD, Album, Promo",,2006,861305,Uncategorized,12/09/2023 01:24,,,
LP13-22,Ian William Craig,Centres,130701,"2xLP, Album",,2016,8724166,Uncategorized,23/11/2019 21:18,,,
LP13-32,Ian William Craig,Thresholder,130701,"LP, Album",,2018,12769115,Uncategorized,23/11/2019 21:15,,,
LP13-46,Ian William Craig,Music For Magnesium_173,130701,2xLP,,2022,24735608,Uncategorized,09/10/2022 04:43,,,
1703-3,Ellen Fullman & Okkyung Lee,The Air Around Her,1703 Skivbolaget,"LP, Ltd",,2019,12988685,Uncategorized,22/11/2019 17:40,,,
202020.01,Damon & Naomi,The Earth Is Blue,20|20|20,"CD, Album",,2005,535989,Uncategorized,25/11/2019 00:15,,,
2ND012,Giardini Di Mirò,Punk ... Not Diet!,2nd Rec,"CD, Album",,2003,195699,Uncategorized,07/12/2019 22:11,,,
CAD 2409CD,Blonde Redhead,Misery Is A Butterfly,4AD,"CD, Album, Dig",,2004,997211,Uncategorized,07/12/2019 22:43,,,
CAD 2609 CD,Jóhann Jóhannsson,"IBM 1401, A User's Manual",4AD,"CD, Album, Dig",,2006,803484,Uncategorized,12/09/2023 01:23,,,
CAD 3503,Holly Herndon,Platform,4AD,"2xLP, Album",,2015,7015065,Uncategorized,01/07/2021 14:47,,,
"CAD 3614, 652637361414",Tim Hecker,Love Streams,"4AD, 4AD","2xLP, Album",,2016,8356975,Uncategorized,02/11/2019 11:11,,,
52HZ001LP,Colin Stetson,Sorrow (A Reimagining Of Gorecki's 3rd Symphony),52Hz,"2xLP, Album, 180",,2016,8384784,Uncategorized,02/11/2019 11:19,,,
"52HZ002LPX, 52HZ002LP",Colin Stetson,All This I Do For Glory,"52Hz, 52Hz","LP, Album, Ltd, Whi",,2017,10199709,Uncategorized,26/03/2020 22:30,,,
8mm 051,Joe McPhee / Eli Keszler,Ithaca,8mm Records,"LP, Ltd",,2012,3501319,Uncategorized,22/11/2019 23:18,,,
6.02577E+11,Don Cherry,Don Cherry,"A&M Records, UMe","LP, Album, RE, Gat",,2019,13641218,Uncategorized,03/11/2019 10:59,,,
"AGO061, REV003",Murcof / Philippe Petit,First Chapter,"Aagoo Records, REV. Laboratories","LP, Album",,2013,4954305,Uncategorized,23/11/2019 18:54,,,
24,Joe McPhee - Dave Rempis - Tomeka Reid - Brandon Lopez (2) - Paal Nilssen-Love,Of Things Beyond Thule Vol. 1,Aerophonic Records,"LP, Album, Ltd",,2020,14673216,Uncategorized,19/03/2020 12:31,,,
CDB901/3,"Iron Maiden, Aerosmith, Guns N' Roses",From Rock'N'Roll To Heavy Metal,Alegra,"3xCD, Comp, Unofficial",,1994,7884881,Uncategorized,12/09/2023 01:20,,,
ALIENCD81,Aidan Baker · Tim Hecker,Fantasma Parastasie,Alien8 Recordings,"CD, Album",,2008,1507629,Uncategorized,07/12/2019 22:18,,,
AIN002,Northern Song Dynasty,Northern Song Dynasty,All Is Number Records,"CD, Album, RE",,2005,854167,Uncategorized,07/12/2019 22:05,,,
at178x4,"John Cage, Apartment House",Number Pieces,Another Timbre,4xCD + Box,,2021,20151679,Uncategorized,27/10/2021 12:50,,,
6632-2,Tom Waits,Alice,Anti-,"CD, Album, Dig",,2002,417316,Uncategorized,07/12/2019 22:55,,,
7838-1,Moor Mother,Black Encyclopedia Of The Air,Anti-,"LP, Album, Ltd, Pur",,2021,20699161,Uncategorized,31/10/2021 08:21,,,
7926-1,Moor Mother,Jazz Codes,Anti-,"LP, Album, Ltd, Gol",,2022,24003833,Uncategorized,27/09/2022 04:36,,,
Anticipate 007,Mark Templeton,Inland,Anticipate Recordings,"CD, Album",,2009,1817790,Uncategorized,28/11/2019 23:25,,,
Anticipate 009,Mark Templeton & Aaron Munson (2),Acre Loss,Anticipate Recordings,"CD, Album + DVD-V, D/Sided, NTSC, PAL",,2009,1660017,Uncategorized,25/12/2019 12:35,,,
"abr0050, N12",13 & God,13 & God,"Anticon, Alien Transistor","CD, Album",,2005,1157667,Uncategorized,12/09/2023 00:51,,,
AFRO 2065,Mohammad,Lamnè Gastama - 34ºN-42ºN/19ºE-29ºE Study Vol.2,Antifrost,"LP, Album, Ltd",,2014,6206637,Uncategorized,23/11/2019 18:54,,,
ARBOR 098,Outer Space (3),Outer Space,Arbor,"LP, Cle",,2010,2394616,Uncategorized,22/11/2019 18:06,,,
none,Akira Rabelais,À La Recherche Du Temps Perdu,Argeïphontes,"4xCD, Album, Ltd",,2021,21346792,Uncategorized,08/02/2023 04:57,,,
ABM22,Tamás Kátai,Erika Szobája,Ars Benevola Mater,"CD, Album, Ltd",,2006,983338,Uncategorized,12/09/2023 01:23,,,
asp3004,AGF + Sue Cie,Mini Movies,Asphodel,"CD, Album + DVD-V",,2006,652173,Uncategorized,12/09/2023 01:08,,,
